id,code,name,account_type,type_currency,status,balance,date_modification,date_creation,changed,quantitative,subject_account,full_name,check_excess_balance,created_by
700393,0000,Остатки,Транзитный,Только в базовой валюте,Активный,Да,18.03.2025 11:50:48,29.05.2024 19:41:03,Юсупов Феурз,Нет,0000. Остатки,0000. Остатки,Да,System
700080,0110,Земля,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0100. СЧЕТА УЧЕТА ОСНОВНЫХ СРЕДСТВ,0110. Земля,Да,System
700081,0111,Благоустройство земли,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0100. СЧЕТА УЧЕТА ОСНОВНЫХ СРЕДСТВ,0111. Благоустройство земли,Да,System
700082,0112,"Благоустройство основных средств, полученных по договору долгосрочной аренды",Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0100. СЧЕТА УЧЕТА ОСНОВНЫХ СРЕДСТВ,"0112. Благоустройство основных средств, полученных по договору долгосрочной аренды",Да,System
700083,0120,"Здания, сооружения и передаточные устройства",Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0100. СЧЕТА УЧЕТА ОСНОВНЫХ СРЕДСТВ,"0120. Здания, сооружения и передаточные устройства",Да,System
700084,0130,Машины и оборудование,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0100. СЧЕТА УЧЕТА ОСНОВНЫХ СРЕДСТВ,0130. Машины и оборудование,Да,System
700085,0140,Мебель и офисное оборудование,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0100. СЧЕТА УЧЕТА ОСНОВНЫХ СРЕДСТВ,0140. Мебель и офисное оборудование,Да,System
700086,0150,Компьютерное оборудование и вычислительная техника,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0100. СЧЕТА УЧЕТА ОСНОВНЫХ СРЕДСТВ,0150. Компьютерное оборудование и вычислительная техника,Да,System
700087,0160,Легковые транспортные средства,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0100. СЧЕТА УЧЕТА ОСНОВНЫХ СРЕДСТВ,0160. Легковые транспортные средства,Да,System
700088,0170,Рабочий и продуктивный скот,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0100. СЧЕТА УЧЕТА ОСНОВНЫХ СРЕДСТВ,0170. Рабочий и продуктивный скот,Да,System
700089,0180,Многолетние насаждения,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0100. СЧЕТА УЧЕТА ОСНОВНЫХ СРЕДСТВ,0180. Многолетние насаждения,Да,System
700090,0190,Прочие основные средства,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0100. СЧЕТА УЧЕТА ОСНОВНЫХ СРЕДСТВ,0190. Прочие основные средства,Да,System
700091,0199,Законсервированные основные средства,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0100. СЧЕТА УЧЕТА ОСНОВНЫХ СРЕДСТВ,0199. Законсервированные основные средства,Да,System
700092,0211,Износ благоустройства земли,Контр - пассивный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0200. СЧЕТА УЧЕТА ИЗНОСА ОСНОВНЫХ СРЕДСТВ,0211. Износ благоустройства земли,Да,System
700093,0212,"Износ благоустройства основных средств, полученных по договору долгосрочной аренды",Контр - пассивный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0200. СЧЕТА УЧЕТА ИЗНОСА ОСНОВНЫХ СРЕДСТВ,"0212. Износ благоустройства основных средств, полученных по договору долгосрочной аренды",Да,System
700094,0220,"Износ зданий, сооружений и передаточных устройств",Контр - пассивный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0200. СЧЕТА УЧЕТА ИЗНОСА ОСНОВНЫХ СРЕДСТВ,"0220. Износ зданий, сооружений и передаточных устройств",Да,System
700095,0230,Износ машин и оборудования,Контр - пассивный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0200. СЧЕТА УЧЕТА ИЗНОСА ОСНОВНЫХ СРЕДСТВ,0230. Износ машин и оборудования,Да,System
700096,0240,Износ мебели и офисного оборудования,Контр - пассивный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0200. СЧЕТА УЧЕТА ИЗНОСА ОСНОВНЫХ СРЕДСТВ,0240. Износ мебели и офисного оборудования,Да,System
700097,0250,Износ компьютерного оборудования и вычислительной техники,Контр - пассивный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0200. СЧЕТА УЧЕТА ИЗНОСА ОСНОВНЫХ СРЕДСТВ,0250. Износ компьютерного оборудования и вычислительной техники,Да,System
700098,0260,Износ транспортных средств,Контр - пассивный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0200. СЧЕТА УЧЕТА ИЗНОСА ОСНОВНЫХ СРЕДСТВ,0260. Износ транспортных средств,Да,System
700099,0270,Износ рабочего скота,Контр - пассивный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0200. СЧЕТА УЧЕТА ИЗНОСА ОСНОВНЫХ СРЕДСТВ,0270. Износ рабочего скота,Да,System
700100,0280,Износ многолетних насаждений,Контр - пассивный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0200. СЧЕТА УЧЕТА ИЗНОСА ОСНОВНЫХ СРЕДСТВ,0280. Износ многолетних насаждений,Да,System
700101,0290,Износ прочих основных средств,Контр - пассивный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,0200. СЧЕТА УЧЕТА ИЗНОСА ОСНОВНЫХ СРЕДСТВ,0290. Износ прочих основных средств,Да,System
