order_id,type_return,cost_price
87268274,Заказ,109.72
87269715,Заказ,7968.18
87270311,Заказ,123.22
87270763,Заказ,420.86
87271889,Заказ,235.71
87272484,Заказ,124.69
87274585,Заказ,124.69
87275623,Заказ,107.26
87276523,Заказ,98.62
87276719,Заказ,124.69
87277145,Заказ,210.43
87277447,Заказ,120.92
87278132,Заказ,111.02
87312071,Заказ,120.92
89297741,Заказ,108.4
89315354,Заказ,2129134
89321176,Заказ,8396189
89321619,Заказ,5008880
89337424,Заказ,270.8
89345738,Заказ,41493127.5
89347604,Заказ,22264605
89348583,Заказ,566988
89350227,Заказ,243.08
89350905,Заказ,611400
89361862,Заказ,24266000
89363375,Заказ,2599391.55
89363562,Заказ,2220671
89372329,Заказ,1278.16
89372460,Заказ,12915087.15
89373649,Заказ,4048110
89376018,Заказ,378815
89377473,Заказ,39493319
89378899,Заказ,128.25
89379151,Заказ,129.07
89380523,Заказ,7398.24
89380939,Заказ,252.94
89381121,Заказ,6672453.9
89381690,Заказ,116.04
89382151,Заказ,1055.47
89384553,Заказ,10283382.34
89384747,Заказ,2234082
89387521,Заказ,171403635.46
89388200,Возврат/Закупка,-31200000
89388857,Заказ,385000
89389105,Заказ,13700000
89389725,Заказ,3000000
89390956,Заказ,2669553.8
89391359,Заказ,40211030
89391665,Заказ,8001763.57
89393593,Заказ,14998533.73
89394800,Заказ,31752000
89395481,Заказ,102400
89396257,Заказ,55633918.11
89396840,Заказ,305000
89398433,Заказ,319.67
89398652,Заказ,65.6
89398856,Заказ,65.6
89399549,Заказ,1806034
89404332,Заказ,246.86
89404561,Заказ,303.39
89404788,Заказ,7001501.32
89405793,Заказ,3740313
89406181,Заказ,1930.4
89406495,Заказ,820.46
89406898,Заказ,6478193.04
89419873,Заказ,224829041.23
89422004,Заказ,180459454.33
89422146,Заказ,126300
89422439,Заказ,79.41
89422601,Заказ,
89422824,Заказ,2529468
89423103,Заказ,35657849
89424343,Заказ,61900
89424652,Заказ,4605221.25
89424801,Заказ,863.4
89424952,Заказ,129.07
89425338,Заказ,81474104.72
89426628,Заказ,27552636
89429411,Заказ,20572980.21
89436800,Возврат/Закупка,-453690.27
89437096,Возврат/Закупка,
89437566,Возврат/Закупка,-1008074
89438076,Возврат/Закупка,-2186265.95
89438294,Возврат/Закупка,-3182936
89438610,Возврат/Закупка,-3173683.2
89439032,Возврат/Закупка,-38252920
89492469,Заказ,5348.49
89601041,Заказ,13099296
89601121,Заказ,8369317
89601323,Заказ,321.98
89601416,Заказ,7938000
89601666,Заказ,35912849
89601715,Заказ,18234720
89601862,Заказ,458.56
89642255,Заказ,138072
89655256,Заказ,117.9
89687091,Заказ,35950000
89692048,Заказ,122.04
89698394,Заказ,425000
89702016,Заказ,10350144
89705207,Заказ,5275649.56
89709328,Заказ,3811600
89711215,Заказ,39467870.4
89712396,Заказ,398406.4
89717381,Заказ,420464.95
89717867,Заказ,54000
89718685,Заказ,1176585
89720563,Заказ,140039.38
89721913,Заказ,2252998
89728699,Заказ,4376477.4
89751372,Заказ,198000
89752026,Заказ,494300
89761618,Заказ,810460
89765011,Заказ,626600
89768068,Заказ,531303.4
89768994,Заказ,1126400
89769541,Заказ,62795150
89769817,Заказ,620.87
89770806,Заказ,996240
89771377,Заказ,10387786
89771792,Заказ,
89784362,Заказ,1605000
89799277,Заказ,6924238.7
89901663,Заказ,911.18
89963268,Заказ,444.2
89980243,Заказ,5230.31
89990410,Заказ,3365000
90001457,Заказ,2360064
90006125,Заказ,620.87
90017413,Заказ,293690
90018116,Заказ,891056
90024240,Заказ,10765417.6
90044239,Заказ,803.19
90054777,Заказ,20480804
90063001,Заказ,5337449.6
90064466,Заказ,477110
90067768,Заказ,2600000
90120706,Заказ,8280115.2
90124553,Заказ,5504.29
90133866,Заказ,609.64
90158339,Заказ,102210
90164683,Заказ,2515100
90198295,Заказ,1167.75
90212523,Заказ,43087390.98
90214329,Возврат/Закупка,-2741492.62
90220489,Заказ,48823535.51
90221878,Заказ,3459522
90310525,Заказ,2023200
90368031,Заказ,426.69
90369066,Заказ,1288.63
90405830,Заказ,4670076.8
90407579,Заказ,493.72
90424267,Заказ,121.6
90440997,Заказ,127.04
90773938,Заказ,3.08
90783048,Заказ,250000
90784019,Заказ,65.6
90784709,Заказ,120.12
90800214,Возврат/Закупка,-536030
90800485,Возврат/Закупка,-767020.8
90800819,Возврат/Закупка,-428824
90821516,Заказ,835.76
90830038,Заказ,3271940
90852364,Заказ,34294.64
90852531,Возврат/Закупка,-3000000
90901939,Возврат/Закупка,-310662
90917234,Заказ,9440256
90925141,Заказ,15762
90934224,Заказ,74621640
90935430,Заказ,173700
90936413,Заказ,15081917.76
91291817,Заказ,174000
91327364,Заказ,216.63
91338351,Заказ,12304800
91362373,Заказ,449411.2
91363206,Заказ,1136600
91373576,Заказ,5206970.16
91373582,Заказ,13066547.76
91387121,Заказ,108.74
91399880,Заказ,3432000
91401073,Заказ,80415580
91472172,Заказ,5488410.63
91480483,Заказ,127.54
91495856,Заказ,102000
91496152,Заказ,2281195
91530216,Заказ,7223689.6
91550799,Возврат/Закупка,-31875455.51
91553971,Заказ,1044349.15
91554584,Возврат/Закупка,-565689.15
91555181,Возврат/Закупка,-2044015.2
91555789,Возврат/Закупка,-1487750.6
91556383,Возврат/Закупка,-321567.97
91556645,Возврат/Закупка,-345826.6
91556809,Возврат/Закупка,-232763
91556936,Возврат/Закупка,-25000
91560927,Заказ,131.34
91588535,Возврат/Закупка,-6360
91604147,Заказ,160135
91605038,Возврат/Закупка,-152562
91736923,Заказ,8708153.95
91747364,Заказ,102025480.18
91823966,Заказ,37674658.35
91883911,Заказ,113.92
91903464,Заказ,254.07
91905931,Заказ,80.33
91907885,Заказ,113.12
91907920,Заказ,113.12
91907935,Заказ,58.73
91907960,Заказ,246.86
91908004,Заказ,552.96
91908017,Заказ,116.04
91908030,Заказ,58.73
91908044,Заказ,130.82
91908089,Заказ,58.73
91908101,Заказ,78.16
91912118,Заказ,147.9
91912143,Заказ,54.29
91912161,Заказ,39.32
91912226,Заказ,93.61
91912484,Возврат/Закупка,-835.76
91912544,Возврат/Закупка,-1288.58
91912561,Возврат/Закупка,-1167.7
91912904,Возврат/Закупка,-58.73
91913215,Возврат/Закупка,-216.64
91913223,Возврат/Закупка,-210.43
91914023,Возврат/Закупка,-113.12
91915697,Заказ,255.07
91918713,Заказ,131.46
91924448,Заказ,9673520
91930946,Заказ,1834840
91936611,Возврат/Закупка,-231000
91937053,Возврат/Закупка,-451600
91937450,Возврат/Закупка,-400308.6
91937938,Заказ,1347200
91954226,Заказ,199110.4
92239550,Заказ,116.04
92267466,Заказ,127.04
92300996,Заказ,341603.4
92304498,Заказ,108.32
92305270,Заказ,818706
92338689,Заказ,246.86
92348277,Заказ,121.6
92353880,Заказ,337615.9
92354840,Заказ,1318.4
92381561,Заказ,257.82
92381569,Заказ,2282142.98
92386832,Заказ,1963798
